L2_lambda,training_MSE,dev_MSE
0.0,0.03665603697299957,36.53468704223633
0.5,7.567301273345947,15.890451431274414
1.0,11.226890563964844,22.212158203125
1.5,15.919563293457031,23.749908447265625
2.0,17.69478988647461,25.891586303710938
2.5,21.87544059753418,28.59209442138672
3.0,24.764328002929688,30.90508270263672
3.5,24.431894302368164,30.51169204711914
4.0,27.541231155395508,33.362850189208984
4.5,28.86391830444336,34.824432373046875
5.0,31.921993255615234,36.391502380371094
5.5,31.814899444580078,36.53099822998047
6.0,33.81989288330078,37.49795913696289
6.5,36.301292419433594,39.112709045410156
7.0,35.200599670410156,38.23869705200195
7.5,38.72637939453125,41.09571075439453
8.0,39.45423126220703,41.68263244628906
8.5,40.023475646972656,42.017295837402344
9.0,42.72100830078125,44.06718826293945
9.5,44.284297943115234,45.394012451171875
10.0,44.285213470458984,45.41010284423828
10.5,46.432518005371094,47.10609436035156
11.0,47.81785202026367,48.19221496582031
11.5,49.32105255126953,48.984012603759766
12.0,50.53913116455078,50.01100158691406
12.5,50.39549255371094,49.82387161254883
13.0,51.75053024291992,51.06413650512695
13.5,50.86079788208008,50.25311279296875
14.0,53.40793228149414,52.45940399169922
14.5,53.048545837402344,52.117759704589844
15.0,56.916107177734375,54.673973083496094
15.5,56.73467254638672,54.529327392578125
16.0,59.65586853027344,57.13946533203125
16.5,56.334957122802734,54.183311462402344
17.0,57.86803436279297,55.52397537231445
17.5,58.81852722167969,56.42164611816406
18.0,64.17735290527344,61.19992446899414
18.5,85.1084976196289,81.90129089355469
19.0,66.9747314453125,63.739280700683594
19.5,62.90341567993164,60.04167556762695
20.0,85.1084976196289,81.9020004272461
20.5,85.1085433959961,81.91047668457031
21.0,85.10848236083984,81.90109252929688
21.5,85.10850524902344,81.90193176269531
22.0,85.10850524902344,81.90181732177734
22.5,85.1084976196289,81.9019546508789
23.0,85.10850524902344,81.90198516845703
23.5,85.10850524902344,81.90312194824219
24.0,85.10862731933594,81.89352416992188
24.5,85.1084976196289,81.902099609375
25.0,85.10850524902344,81.90290069580078
25.5,85.1084976196289,81.90192413330078
26.0,85.10862731933594,81.9075698852539
26.5,85.10850524902344,81.9035873413086
27.0,85.1085205078125,81.8984375
27.5,85.10851287841797,81.89643096923828
28.0,85.10850524902344,81.90191650390625
28.5,85.10851287841797,81.90166473388672
29.0,85.10850524902344,81.90277099609375
29.5,85.10850524902344,81.90191650390625
30.0,85.1084976196289,81.90181732177734
